"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","FetchSize","WriteSize","TCC_HIT[0]","TCC_MISS[0]","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
1,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,1,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1738130.375,1039003.3125,1743733,1394135,1616924508306903,1616924530487618,1616924533433219,1616924533565756,2945601
4,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,6,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1721203.125,1040400,1736086,1401668,1616924536426326,1616924536783621,1616924539730502,1616924539733971,2946881
5,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,9,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1709643.25,1039026.125,1747353,1390421,1616924540104622,1616924540514823,1616924543450185,1616924543453422,2935362
6,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,12,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1703398.125,1039021.75,1759411,1378379,1616924543802012,1616924544204745,1616924547141227,1616924547144972,2936482
7,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,15,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1705424.0625,1039032.3125,1761149,1376642,1616924547481790,1616924547878668,1616924550814510,1616924550816995,2935842
8,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,18,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1707140.0625,1039038.25,1763346,1374480,1616924551110743,1616924551498670,1616924554441392,1616924554522671,2942722
9,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,21,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699948.125,1038997.625,1759836,1377965,1616924554544081,1616924555138912,1616924558084514,1616924558164688,2945602
10,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,24,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702685.9375,1039034.5625,1758024,1379723,1616924558185196,1616924558786075,1616924561723997,1616924561800895,2937922
11,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,27,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1697014.6875,1039038.25,1766028,1371802,1616924561823176,1616924562413557,1616924565354839,1616924565432082,2941282
12,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,30,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1705850.5625,1039033.9375,1767710,1370072,1616924565455305,1616924566061280,1616924569007361,1616924569009529,2946081
13,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,33,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1704832.0625,1039024.875,1761212,1376560,1616924569297506,1616924569701442,1616924572647844,1616924572650133,2946402
14,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,36,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1706291.625,1039032.0625,1763325,1374460,1616924572936848,1616924573364644,1616924576310086,1616924576312389,2945442
15,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,39,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1707008.4375,1039022,1764418,1373369,1616924576595787,1616924576988967,1616924579932808,1616924580025769,2943841
16,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,42,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702959.5,1039028,1767082,1370613,1616924580048080,1616924580640609,1616924583579811,1616924583657867,2939202
17,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,45,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1701018.875,1039039.4375,1767251,1370514,1616924583680159,1616924584281731,1616924587229413,1616924587304834,2947682
18,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,48,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1703873.875,1039011.625,1764869,1372889,1616924587327777,1616924587914534,1616924590851016,1616924590927735,2936482
19,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,51,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699980,1039012.875,1760609,1377176,1616924590951089,1616924591556376,1616924594490618,1616924594571266,2934242
20,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,54,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1694870.75,1039010.0625,1763567,1374188,1616924594591564,1616924595186438,1616924598125318,1616924598214826,2938880
21,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,57,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1704843.6875,1039027.6875,1760972,1376859,1616924598238219,1616924598873158,1616924601817638,1616924601896988,2944480
22,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,60,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702964.6875,1039018.1875,1765165,1372644,1616924601920021,1616924602520679,1616924605474439,1616924605553893,2953760
23,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,63,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1702616.25,1039003.125,1763921,1373842,1616924605577056,1616924606169720,1616924609115480,1616924609193115,2945760
24,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,66,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1709533,1039026.5625,1765984,1371706,1616924609216138,1616924609810920,1616924612748361,1616924612825464,2937441
25,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,69,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1699692.75,1038993.9375,1767765,1370008,1616924612850391,1616924613437001,1616924616388202,1616924616465979,2951201
26,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,72,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1698185.3125,1039027.625,1767686,1370028,1616924616489232,1616924617087242,1616924620024203,1616924620102966,2936961
27,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",2,0,75,4124249,4124249,134217728,256,0,0,20,20,32,64,"0x0","0x7fcdda2618c0",1700472.4375,1039014.625,1763316,1374480,1616924620125338,1616924620716803,1616924623667524,1616924623746317,2950721
