"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","FetchSize","WriteSize","TCC_HIT[0]","TCC_MISS[0]","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"_6(ROCKernelContext, ROCDeviceArray<Float64, 3, 1>, Float64) [clone .kd]",2,0,0,4182371,4182371,135796992,256,0,0,4,4,48,64,"0x0","0x7f6b79c145c0",3218.6875,1060912.0625,0,530456,1627579850055907,1627579873262089,1627579874619208,1627579874728666,1357119
1,"_6(ROCKernelContext, ROCDeviceArray<Float64, 3, 1>, Float64) [clone .kd]",2,0,1,4182371,4182371,135796992,256,0,0,4,4,48,64,"0x0","0x7f6b79c145c0",3316.1875,1056307.6875,0,530456,1627579883703391,1627579884090077,1627579885464475,1627579885528122,1374398
2,"_6(ROCKernelContext, ROCDeviceArray<Float64, 3, 1>, Float64) [clone .kd]",2,0,2,4182371,4182371,135796992,256,0,0,4,4,48,64,"0x0","0x7f6b79c145c0",3248.75,1060900.875,0,533616,1627579884608037,1627579885540955,1627579886904314,1627579886994364,1363359
3,"_6(ROCKernelContext, ROCDeviceArray<Float64, 3, 1>, Float64) [clone .kd]",2,0,3,4182371,4182371,135796992,256,0,0,4,4,48,64,"0x0","0x7f6b79c145c0",3213.875,1060899.75,0,530456,1627579885467539,1627579886980954,1627579888334232,1627579888419460,1353278
4,"_parallel_for_amdgpu_LMN(_init_fields_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, ROCDeviceArray<ROCDeviceArray<Float64, 3, 1>, 1, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>) [clone .kd]",2,0,5,4182371,4182371,134217728,1024,0,0,16,16,48,64,"0x0","0x7f6b7749e780",23.875,42.25,10,25,1627581216128085,1627581216894522,1627581217956441,1627581218076486,1061919
5,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,9,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321633.375,2104249.0625,1523104,4213336,1627587179846384,1627587180671684,1627587199936945,1627587200067039,19265261
6,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,13,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321552.5,2104252.46875,1522267,4213121,1627589080026495,1627589080963736,1627589100256996,1627589100381741,19293260
7,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,17,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321622.1875,2104236.71875,1520183,4213353,1627590787957743,1627590788921353,1627590808214933,1627590808324307,19293580
8,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,21,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321583.25,2104259.46875,1522523,4213171,1627593084767391,1627593085868958,1627593105143658,1627593105277763,19274700
9,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,25,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321652.3125,2104246.28125,1521938,4213333,1627595414847731,1627595415883274,1627595435155414,1627595435291279,19272140
10,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,29,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321522.3125,2104264.03125,1521935,4213072,1627597149080062,1627597149995408,1627597169283228,1627597169423303,19287820
11,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,33,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321661.25,2104242.65625,1521794,4213395,1627598919713628,1627598922426127,1627598941712187,1627598941824342,19286060
12,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,37,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321564.625,2104264.03125,1522946,4213129,1627601310371897,1627601311542415,1627601330819355,1627601330946690,19276940
13,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,41,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321597.5,2104247.8125,1523399,4213271,1627603611179777,1627603612296091,1627603631570312,1627603631678688,19274221
14,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,45,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321585,2104260.5,1522312,4213132,1627605364790199,1627605365769291,1627605385059351,1627605385167686,19290060
15,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,49,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321623.9375,2104244.625,1521585,4213321,1627614912874226,1627614913773877,1627614933060897,1627614933171511,19287020
16,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,53,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321532.25,2104254,1522241,4213093,1627617004434063,1627617005383327,1627617024652907,1627617024777654,19269580
17,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,57,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321567.25,2104254.8125,1522119,4213326,1627619320545992,1627619321378115,1627619340648335,1627619340785580,19270220
18,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,61,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321567.6875,2104258.75,1521543,4213130,1627621590693415,1627621591527992,1627621610815492,1627621610908596,19287500
19,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,65,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321588.875,2104255.0625,1520931,4213403,1627623907752720,1627623908721889,1627623928011789,1627623928107061,19289900
20,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,69,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321584.8125,2104264.875,1522219,4213037,1627626110320615,1627626111217024,1627626130481164,1627626130564831,19264140
21,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,73,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321597.5,2104246.21875,1522102,4213306,1627627922561447,1627627923286046,1627627942552426,1627627942639604,19266380
22,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,77,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321579.375,2104258.59375,1522284,4213072,1627630211820315,1627630212637389,1627630231926649,1627630232121257,19289260
23,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,81,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321571.9375,2104258.375,1521599,4213411,1627631917032014,1627631917777470,1627631937063050,1627631937193897,19285580
24,"_parallel_for_amdgpu_LMN(_calculate_kernel_, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Float64, 3, 1>, ROCDeviceArray<Int64, 1, 1>, Float64, Float64, Float64, Float64, Float64, Float64) [clone .kd]",2,0,85,4182371,4182371,152111104,1024,512,0,64,64,48,64,"0x0","0x7f6b774888c0",6321566.8125,2104244.53125,1523325,4213117,1627633579485171,1627633580237256,1627633599506676,1627633599639640,19269420
